state_code,state,capital,region,lat,lon,metric,slope_per_year,slope_per_decade,intercept,method,n_years,first_year,last_year
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_rh2m_pct,-0.07967427701674294,-0.7967427701674294,245.17949940808424,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_solar_kwh_m2_day,0.008580323785803434,0.08580323785803434,0.6644782067243895,theilslopes,43,1984,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_ws10m_m_s,0.0004238013698630097,0.004238013698630097,0.4360372431506929,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_ws50m_m_s,-0.0009325215626585668,-0.009325215626585668,4.713909690512466,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_vpd_kpa,0.004018818138749309,0.0401881813874931,-7.535263145100654,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,annual_precip_mm,-20.1696,-201.696,41829.5686,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,rainy_days_ge_1mm,-1.9487179487179487,-19.487179487179485,4117.25641025641,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,heavy_rain_days_ge_20mm,-0.20833333333333334,-2.0833333333333335,426.39583333333337,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,extreme_rain_days_ge_50mm,0.0,0.0,0.0,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,dry_days_lt_1mm,1.6923076923076923,16.923076923076923,-3240.5384615384614,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,longest_dry_spell_days,0.09523809523809523,0.9523809523809523,-175.3095238095238,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,max_1day_precip_mm,-0.08538461538461534,-0.8538461538461534,210.66307692307683,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,max_5day_precip_mm,-0.771860465116279,-7.71860465116279,1639.6324418604652,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,rainfall_concentration,0.0006832720677484635,0.006832720677484635,-1.2972175965787092,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_t2m_c,0.03595516811955173,0.35955168119551734,-46.645398505604085,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_t2m_max_c,0.049621575342465585,0.49621575342465585,-70.69162071917773,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_t2m_min_c,0.026938770286553258,0.2693877028655326,-31.010077635229667,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_t2m_range_c,0.01902014504431909,0.1902014504431909,-32.52992908944398,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_rh2m_pct,-0.11399510763209467,-1.1399510763209466,306.51311594912085,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_solar_kwh_m2_day,0.003528458853071535,0.035284588530715345,11.83560438315322,theilslopes,43,1984,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_ws10m_m_s,0.0015657534246575678,0.015657534246575677,0.09212488584468215,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_ws50m_m_s,0.0006575342465753309,0.006575342465753309,3.287534246575366,theilslopes,46,1981,2026
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,mean_vpd_kpa,0.005406194872547331,0.054061948725473305,-10.10552718356891,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,annual_precip_mm,-2.932499999999976,-29.32499999999976,6906.893749999952,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,rainy_days_ge_1mm,-0.36,-3.5999999999999996,867.26,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,heavy_rain_days_ge_20mm,0.0,0.0,8.0,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,extreme_rain_days_ge_50mm,0.0,0.0,0.0,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,dry_days_lt_1mm,0.05405405405405406,0.5405405405405406,106.7027027027027,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,longest_dry_spell_days,0.4166666666666667,4.166666666666667,-750.7916666666667,theilslopes,46,1981,2026
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,max_1day_precip_mm,0.11764705882352941,1.1764705882352942,-198.22588235294114,theilslopes,46,1981,2026
